1	1.03938	-13.5366	0	0	0.976	0.442	0	0	3
2	1.04849	-9.78527	0	0	0	0	0	0	3
3	1.03071	-12.2764	0	0	3.22	0.024	0	0	3
4	1.00446	-12.6267	0	0	5	1.84	0	0	3
5	1.00601	-11.1923	0	0	0	0	0	0	3
6	1.00823	-10.4083	0	0	0	0	0	0	3
7	0.998397	-12.7556	0	0	2.338	0.84	0	0	3
8	0.997872	-13.3358	0	0	5.22	1.766	0	0	3
9	1.03833	-14.1784	0	0	0.065	-0.666	0	0	3
10	1.01784	-8.17088	0	0	0	0	0	0	3
11	1.01339	-8.93697	0	0	0	0	0	0	3
12	1.00082	-8.99882	0	0	0.0853	0.88	0	0	3
13	1.01492	-8.92993	0	0	0	0	0	0	3
14	1.01232	-10.7153	0	0	0	0	0	0	3
15	1.01619	-11.3454	0	0	3.2	1.53	0	0	3
16	1.03252	-10.0333	0	0	3.29	0.323	0	0	3
17	1.03424	-11.1164	0	0	0	0	0	0	3
18	1.03157	-11.9862	0	0	1.58	0.3	0	0	3
19	1.05011	-5.41007	0	0	0	0	0	0	3
20	0.991011	-6.82118	0	0	6.8	1.03	0	0	3
21	1.03232	-7.62875	0	0	2.74	1.15	0	0	3
22	1.05014	-3.18312	0	0	0	0	0	0	3
23	1.04515	-3.38128	0	0	2.475	0.846	0	0	3
24	1.038	-9.91376	0	0	3.086	-0.922	0	0	3
25	1.05768	-8.36924	0	0	2.24	0.472	0	0	3
26	1.05256	-9.43877	0	0	1.39	0.17	0	0	3
27	1.03834	-11.3622	0	0	2.81	0.755	0	0	3
28	1.05037	-5.92836	0	0	2.06	0.276	0	0	3
29	1.05011	-3.16987	0	0	2.835	0.269	0	0	3
30	1.0499	-7.37047	2.5	1.61762	0	0	0	0	2
31	0.982	0	6.77871	2.21574	0.092	0.046	0	0	1
32	0.9841	-0.188437	6.5	2.06965	0	0	0	0	2
33	0.9972	-0.193174	6.32	1.08293	0	0	0	0	2
34	1.0123	-1.63112	5.08	1.66688	0	0	0	0	2
35	1.0494	1.77651	6.5	2.10661	0	0	0	0	2
36	1.0636	4.46844	5.6	1.00165	0	0	0	0	2
37	1.0275	-1.5829	5.4	-0.0136945	0	0	0	0	2
38	1.0265	3.89282	8.3	0.217327	0	0	0	0	2
39	1.03	-14.5353	10	0.784674	11.04	2.5	0	0	2
1	2	0.0035	0.0411	0.6987	1	0
1	39	0.001	0.025	0.75	1	0
2	3	0.0013	0.0151	0.2572	1	0
2	25	0.007	0.0086	0.146	1	0
2	30	0	0.0181	0	1.025	0
3	4	0.0013	0.0213	0.2214	1	0
3	18	0.0011	0.0133	0.2138	1	0
4	5	0.0008	0.0128	0.1342	1	0
4	14	0.0008	0.0129	0.1382	1	0
5	6	0.0002	0.0026	0.0434	1	0
5	8	0.0008	0.0112	0.1476	1	0
6	7	0.0006	0.0092	0.113	1	0
6	11	0.0007	0.0082	0.1389	1	0
6	31	0	0.025	0	1.07	0
7	8	0.0004	0.0046	0.078	1	0
8	9	0.0023	0.0363	0.3804	1	0
9	39	0.001	0.025	1.2	1	0
10	11	0.0004	0.0043	0.0729	1	0
10	13	0.0004	0.0043	0.0729	1	0
10	32	0	0.02	0	1.07	0
12	11	0.0016	0.0435	0	1.006	0
12	13	0.0016	0.0435	0	1.006	0
13	14	0.0009	0.0101	0.1723	1	0
14	15	0.0018	0.0217	0.366	1	0
15	16	0.0009	0.0094	0.171	1	0
16	17	0.0007	0.0089	0.1342	1	0
16	19	0.0016	0.0195	0.304	1	0
16	21	0.0008	0.0135	0.2548	1	0
16	24	0.0003	0.0059	0.068	1	0
17	18	0.0007	0.0082	0.1319	1	0
17	27	0.0013	0.0173	0.3216	1	0
19	20	0.0007	0.0138	0	1.06	0
19	33	0.0007	0.0142	0	1.07	0
20	34	0.0009	0.018	0	1.009	0
21	22	0.0008	0.014	0.2565	1	0
22	23	0.0006	0.0096	0.1846	1	0
22	35	0	0.0143	0	1.025	0
23	24	0.0022	0.035	0.361	1	0
23	36	0.0005	0.0272	0	1	0
25	26	0.0032	0.0323	0.531	1	0
25	37	0.0006	0.0232	0	1.025	0
26	27	0.0014	0.0147	0.2396	1	0
26	28	0.0043	0.0474	0.7802	1	0
26	29	0.0057	0.0625	1.029	1	0
28	29	0.0014	0.0151	0.249	1	0
29	38	0.0008	0.0156	0	1.025	0
